Scen	Time	Value
1	1	14.45796021238938
1	2	14.903558796460178
1	3	14.492237026548674
1	4	13.189718088495576
1	5	12.778396318584075
1	6	12.421917451327436
1	7	11.023423433628318
1	8	10.379019327433628
1	9	10.348170194690267
1	10	10.091094088495575
1	11	10.221345982300887
1	12	10.20420757522124
1	13	10.20077989380531
1	14	10.176786123893809
1	15	10.519554265486724
1	16	10.612101663716816
1	17	10.773202690265487
1	18	10.62924007079646
1	19	10.728642831858407
1	20	11.60955695575221
1	21	12.315659327433629
1	22	12.343080778761061
1	23	16.418593982300884
1	24	16.092964247787613
1	25	15.503403044247786
1	26	17.152117805309736
1	27	14.828149805309733
1	28	15.105792
1	29	14.996106194690265
1	30	13.930097274336287
1	31	16.19922237168142
1	32	16.19922237168142
1	33	16.26092063716814
1	34	17.96105061946903
1	35	21.594392920353982
1	36	20.925995044247784
1	37	18.674008353982302
1	38	19.129889982300885
1	39	15.554818265486729
1	40	16.576267327433634
1	41	16.22664382300885
1	42	16.391172530973453
1	43	13.697014938053098
1	44	13.580473769911507
1	45	13.189718088495576
1	46	13.193145769911506
1	47	12.583018477876108
1	48	12.67213819469027
1	49	12.387640637168142
1	50	12.463049628318586
1	51	12.250533380530975
1	52	11.510154194690266
1	53	10.732070513274337
1	54	10.800624141592923
1	55	10.769775008849557
1	56	10.786913415929204
1	57	10.348170194690267
1	58	10.300182654867257
1	59	10.814334867256639
1	60	10.725215150442478
1	61	11.071410973451327
1	62	11.122826194690267
1	63	11.96946350442478
1	64	12.051727858407077
1	65	11.952325097345135
1	66	11.996884955752215
1	67	12.620722973451329
1	68	12.66871051327434
1	69	12.713270371681418
1	70	13.193145769911506
1	71	15.726202336283187
1	72	15.472553911504427
1	73	15.116075044247786
1	74	14.920697203539824
1	75	14.159751929203543
1	76	14.272865415929202
1	77	14.149468884955752
1	78	13.86839900884956
1	79	16.559128920353984
1	80	16.956739964601773
1	81	17.635420884955757
1	82	20.123917592920353
1	83	23.037446796460177
1	84	21.83775830088496
1	85	20.449547327433628
1	86	19.979954973451328
1	87	15.739913061946906
1	88	15.71934697345133
1	89	15.489692318584071
1	90	15.212050123893809
1	91	13.810128424778764
1	92	13.590756814159294
1	93	13.210284176991152
1	94	13.0868876460177
1	95	12.466477309734513
1	96	12.504181805309736
1	97	12.274527150442482
1	98	12.291665557522125
1	99	11.537575646017698
1	100	11.517009557522124
1	101	11.482732743362831
1	102	11.462166654867257
1	103	10.612101663716816
1	104	10.557258761061949
1	105	10.341314831858408
1	106	10.272761203539822
1	107	10.608673982300886
1	108	10.584680212389383
